category,image,item_id,like,link,price,review,title
Bikes,https://img.gkbcdn.com/p/2022-08-29/FAFREES-F7-750W-Electric-Bike-516256-0._w280_.jpg,516256,23,https://www.geekbuying.com/item/FAFREES-F7-Electric-Bike-20-Inch-750W-48V-10AH-35KM-H-Speed---Black-516256.html,$879.99,4,FAFREES F7 Folding Electric Bike 20*4.0 Chaoyang Fat Tires 750W Motor 35Km/h Max Speed Removable 48V 10Ah Lithium-Ion Battery 90KM Max Range Shimano 7-Speed Gears E-bike - Black
Electric Scooters,https://img.gkbcdn.com/p/2019-08-09/kugoo-g-booster-electric-scooter-black-1574132343827._w280_.jpg,416859,472,https://www.geekbuying.com/item/KUGOO-G-BOOSTER-Electric-Scooter-Black-416859.html,$1119.42,21,KUGOO G-Booster Folding Electric Scooter Dual 800W Motors 3 Speed Modes Max 55km/h 10 Inch Tire - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-08-01/Eleglide-Coozy-36V-12-5Ah-350W-55KM-Range-Electric-Scooter-510153-0._w280_.jpg,510153,60,https://www.geekbuying.com/item/Eleglide-Coozy-36V-12-5Ah-350W-55KM-Range-Electric-Scooter-510153.html,$537.72,7,Eleglide Coozy Electric Scooter 10 Inch Pneumatic Tires 350W Motor 25km/h Max Speed 36V 12.5Ah Battery 55km Range 120KG Max Load LED Digital Display IPX5 Waterproof APP Control
Bikes,https://img.gkbcdn.com/p/2022-09-09/DUOTTS-C29-Electric-Bike-750W-Mountain-Bike-516948-0._w280_.jpg,516948,27,https://www.geekbuying.com/item/DUOTTS-C29-Electric-Bike-750W-48V-15Ah-50KM-H-Mountain-Bike-516948.html,$849.99,5,DUOTTS C29 Electric Bike 29 Inch 750W Mountain Bike 48V 15Ah Battery 50km/h Max Speed for 50km Range Shimano 21 Speed Gear
Bikes,https://img.gkbcdn.com/p/2021-08-05/KUGOO-V1-Folding-Moped-Electric-Bike-12-Inch-Black-466017-0._w280_.jpg,466017,60,https://www.geekbuying.com/item/KUGOO-KIRIN-V1-Folding-Moped-Electric-Bike-400W-4-Inch-Tires-Black-466017.html,$486.70,6,KugooKirin V1 (KIRIN B2) Folding Moped Electric Bike with Pedals 400W Brushless Motor Max Speed 45km/h 7.5AH Lithium Battery Disc Brake 14 Inch Pneumatic Tires Smart App Control Child Saddle - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-06-07/CMSBIKE-V10-Electric-Scooter-10---Air-Tires-Black-501586-0._w280_.jpg,501586,10,https://www.geekbuying.com/item/CMSBIKE-V10-Electric-Scooter-10---Air-Tires-Black-501586.html,$519.99,,CMSBIKE V10 Electric Scooter 10'' Air Tires 500W Motor 36V 15Ah Battery Max Speed 30km/h Max Load 120kg - Black
Cycling Apparels,https://img.gkbcdn.com/p/2021-03-19/waterproof-handlebar-bag-folding-storage-pack--1616147386934._w280_.jpg,456644,17,https://www.geekbuying.com/item/ENGWE-Waterproof-Bike-Rack-Bag-With-35l-Large-Capacity-456644.html,$69.99,1,ENGWE Waterproof Bike Rack Bag With 35l Large Capacity
Bikes,https://img.gkbcdn.com/p/2022-10-29/JOYOR-S5-Electric-Scooter-48V-13Ah-Battery-Black-518045-1._w280_.jpg,518045,3,https://www.geekbuying.com/item/JOYOR-S10-S-Electric-Scooter-10in-48V-18Ah-2-1000W-Motor-65Km-h-Black-518045.html,$959.99,,JOYOR S10-S Electric Scooter 10 Inch Air Tires 60V 18Ah Battery 2*1000W Dual Motor 65Km/h Max Speed 70-85KM Range 120KG Load Double Disc Brakes Black
Bikes,https://img.gkbcdn.com/p/2022-08-10/fafrees-f20-electric-bike-20-inch-folding-frame-e-bike---black-4e8f66-1660101612457._w280_.jpg,494151,31,https://www.geekbuying.com/item/FAFREES-F20-Electric-Bike-20-Inch-Folding-Frame-E-bike---Black-494151.html,$878.95,8,FAFREES F20 Electric Bike 20 Inch Folding Frame E-bike 7-Speed Gears With Removable 15AH Lithium Battery - Black
Bikes,https://img.gkbcdn.com/p/2022-08-17/shengmilo-m90-mountain-e-bike-29-inch-500w-48v-17ah---black-6c9011-1660730039743._w280_.jpg,498355,36,https://www.geekbuying.com/item/Shengmilo-M90-Mountain-E-bike-29-Inch-500W-48V-17Ah---Black-498355.html,$1199.99,5,Shengmilo M90 Mountain E-bike 29 Inch 500W 48V 17Ah 40km/h Max Speed 180kg Max Load Electric Bike - Black
